player_name,player_name,league_name,year,fee,market_value_in_eur,player_position,from_club_name,to_club_name,perf_before_goals,perf_before_assists,perf_before_minutes,perf_before_matches,perf_after_goals,perf_after_assists,perf_after_minutes,perf_after_matches,goal_change,assist_change
Taylor Harwood-Bellis,Taylor Harwood-Bellis,Premier League,2023,0.0,25000000.0,Defender,Man City,Southampton,,,,,,,,,,
Luis Sinisterra,Luis Sinisterra,Premier League,2023,0.0,22000000.0,Attack,Leeds,Bournemouth,5.0,0.0,867.0,19.0,2.0,2.0,699.0,20.0,-3.0,2.0
Mason Greenwood,Mason Greenwood,Primera Division,2023,0.0,5000000.0,Attack,Man Utd,Getafe,,,,,8.0,6.0,2662.0,33.0,,
Nuno Tavares,Nuno Tavares,Premier League,2023,0.0,18000000.0,Defender,Arsenal,Nottm Forest,,,,,0.0,0.0,457.0,8.0,,
Romaric Yapi,Romaric Yapi,Ligue 1,2023,,300000.0,Defender,Vitesse,SC Bastia,,,,,,,,,,
Timothée Pembélé,Timothée Pembélé,Premier League,2023,1000000.0,5000000.0,Defender,Paris SG,Sunderland,,,,,,,,,,
Tomas Suslov,Tomas Suslov,Serie A,2023,0.0,2000000.0,Midfield,FC Groningen,Hellas Verona,,,,,3.0,5.0,2092.0,32.0,,
Billal Brahimi,Billal Brahimi,Ligue 1,2023,0.0,7000000.0,Attack,OGC Nice,Stade Brestois,3.0,2.0,800.0,26.0,0.0,0.0,221.0,18.0,-3.0,-2.0
Sergio Carreira,Sergio Carreira,Primera Division,2023,0.0,1500000.0,Defender,Celta de Vigo,Elche CF,0.0,0.0,1530.0,17.0,9.0,4.0,2047.0,34.0,9.0,4.0
Martín Payero,Martín Payero,Serie A,2023,3000000.0,3500000.0,Midfield,Middlesbrough,Udinese,,,,,2.0,2.0,1796.0,29.0,,
Robert Navarro,Robert Navarro,Primera Division,2023,0.0,3000000.0,Midfield,Real Sociedad,Cádiz CF,0.0,0.0,351.0,17.0,1.0,1.0,1888.0,28.0,1.0,1.0
Cole Palmer,Cole Palmer,Premier League,2023,47000000.0,18000000.0,Midfield,Man City,Chelsea,0.0,1.0,370.0,14.0,22.0,11.0,2607.0,33.0,22.0,10.0
James McAtee,James McAtee,Premier League,2023,0.0,12000000.0,Midfield,Man City,Sheff Utd,,,,,0.0,0.0,1.0,1.0,,
Kelvin Yeboah,Kelvin Yeboah,Ligue 1,2023,0.0,3500000.0,Attack,Genoa,Montpellier,,,,,0.0,0.0,276.0,13.0,,
Niels Nkounkou,Niels Nkounkou,Bundesliga,2023,7500000.0,5000000.0,Defender,Saint-Étienne,E. Frankfurt,,,,,3.0,2.0,1309.0,29.0,,
Mohamed Bayo,Mohamed Bayo,Ligue 1,2023,0.0,6000000.0,Attack,LOSC Lille,Le Havre AC,,,,,,,,,,
Matheus Nunes,Matheus Nunes,Premier League,2023,62000000.0,45000000.0,Midfield,Wolves,Man City,1.0,1.0,2467.0,34.0,0.0,2.0,661.0,17.0,-1.0,1.0
Bashir Humphreys,Bashir Humphreys,Premier League,2023,0.0,3000000.0,Defender,Chelsea U21,Swansea,,,,,,,,,,
Tyler Morton,Tyler Morton,Premier League,2023,0.0,7000000.0,Midfield,Liverpool U21,Hull City,,,,,,,,,,
Andrew Omobamidele,Andrew Omobamidele,Premier League,2023,12850000.0,6000000.0,Defender,Norwich,Nottm Forest,,,,,0.0,0.0,783.0,11.0,,
Reinier,Reinier,Serie A,2023,0.0,2000000.0,Midfield,Real Madrid,Frosinone,,,,,2.0,2.0,1059.0,22.0,,
Jovanny Bolívar,Jovanny Bolívar,Primera Division,2023,0.0,500000.0,Attack,Albacete,SD Huesca,,,,,,,,,,
Diego Moreira,Diego Moreira,Ligue 1,2023,0.0,2000000.0,Attack,Chelsea,Olympique Lyon,,,,,0.0,0.0,270.0,7.0,,
Jaden Philogene,Jaden Philogene,Premier League,2023,5800000.0,2800000.0,Attack,Aston Villa,Hull City,,,,,0.0,0.0,4.0,1.0,,
Aliou Baldé,Aliou Baldé,Ligue 1,2023,2500000.0,800000.0,Attack,Lausanne-Sport,OGC Nice,,,,,,,,,,
Tom Cannon,Tom Cannon,Premier League,2023,8800000.0,5000000.0,Attack,Everton,Leicester,0.0,0.0,25.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
Kamory Doumbia,Kamory Doumbia,Ligue 1,2023,0.0,2500000.0,Midfield,Stade Reims,Stade Brestois,2.0,2.0,1155.0,26.0,6.0,5.0,879.0,25.0,4.0,3.0
Hianga'a Mbock,Hianga'a Mbock,Ligue 1,2023,0.0,1200000.0,Midfield,Stade Brestois,SM Caen,,,,,,,,,,
Jaidon Anthony,Jaidon Anthony,Premier League,2023,0.0,9000000.0,Attack,Bournemouth,Leeds,3.0,1.0,1257.0,30.0,0.0,0.0,152.0,3.0,-3.0,-1.0
Anthony Rouault,Anthony Rouault,Bundesliga,2023,0.0,10000000.0,Defender,Toulouse,VfB Stuttgart,,,,,0.0,2.0,1010.0,22.0,,
Thomas Kristensen,Thomas Kristensen,Serie A,2023,5000000.0,700000.0,Defender,Aarhus GF,Udinese,,,,,0.0,1.0,2096.0,26.0,,
Isaak Touré,Isaak Touré,Ligue 1,2023,8000000.0,6000000.0,Defender,Marseille,FC Lorient,,,,,,,,,,
Jon Karrikaburu,Jon Karrikaburu,Primera Division,2023,0.0,5000000.0,Attack,Real Sociedad,Alavés,0.0,0.0,93.0,6.0,0.0,0.0,16.0,2.0,0.0,0.0
Sidney Raebiger,Sidney Raebiger,Bundesliga,2023,50000.0,750000.0,Midfield,Greuther Fürth,E. Frankfurt,,,,,,,,,,
Abde Ezzalzouli,Abde Ezzalzouli,Primera Division,2023,7500000.0,15000000.0,Attack,Barcelona,Real Betis,4.0,2.0,1504.0,28.0,0.0,0.0,68.0,2.0,-4.0,-2.0
