,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2223,Troyes,Amar Ahmed,SWE,FW,18,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2223,Troyes,Andreas Bruus,DEN,"DF,FW",23,1999,27,18,1628,18.1,0,2,2,0,0,0,2,0,0.7,0.7,1.7,2.4,47,41,117,0.0,0.11,0.11,0.0,0.11,0.04,0.09,0.13,0.04,0.13
FRA-Ligue 1,2223,Troyes,Ante Palaversa,CRO,MF,22,2000,2,0,31,0.3,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,0,0,0,2.9,0.0,2.9,2.9,2.9,1.47,0.19,1.66,1.47,1.66
FRA-Ligue 1,2223,Troyes,Derek Mazou-Sacko,FRA,MF,17,2004,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2223,Troyes,Erik Palmer-Brown,USA,DF,25,1997,38,36,3191,35.5,0,0,0,0,0,0,5,0,1.1,1.1,0.4,1.5,6,75,0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
FRA-Ligue 1,2223,Troyes,Florian Tardieu,FRA,MF,30,1992,15,11,1009,11.2,3,0,3,0,3,3,2,0,2.9,0.5,1.0,1.5,20,83,17,0.27,0.0,0.27,0.0,0.0,0.26,0.09,0.35,0.05,0.14
FRA-Ligue 1,2223,Troyes,Gauthier Gallon,FRA,GK,29,1993,30,30,2667,29.6,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2223,Troyes,Ike Ugbo,CAN,"FW,MF",23,1998,25,9,895,9.9,2,1,3,2,0,0,0,0,2.2,2.2,0.5,2.7,9,8,34,0.2,0.1,0.3,0.2,0.3,0.22,0.05,0.27,0.22,0.27
FRA-Ligue 1,2223,Troyes,Jackson Porozo,ECU,DF,21,2000,22,17,1617,18.0,2,0,2,2,0,0,3,0,2.8,2.8,0.2,3.0,6,26,4,0.11,0.0,0.11,0.11,0.11,0.16,0.01,0.17,0.16,0.17
FRA-Ligue 1,2223,Troyes,Jeff Reine-Adélaïde,FRA,MF,24,1998,6,3,233,2.6,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.8,10,20,8,0.0,0.39,0.39,0.0,0.39,0.12,0.17,0.29,0.12,0.29
