,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2223,Lyon,Karl Toko Ekambi,CMR,"FW,MF",29,1992,15.0,493,617,79.9,7979,1331,260,313,83.1,181,213,85.0,36,48,75.0,2,3.0,3.1,-1.0,26,29,15,2,36
FRA-Ligue 1,2223,Lyon,Lucas Paquetá,BRA,MF,24,1997,1.8,110,126,87.3,1981,536,54,60,90.0,36,40,90.0,16,21,76.2,0,0.2,0.7,-0.2,3,14,3,1,8
FRA-Ligue 1,2223,Lyon,Malo Gusto,FRA,DF,19,2003,17.7,1171,1437,81.5,18951,6105,599,671,89.3,460,549,83.8,83,139,59.7,1,3.1,4.1,-2.1,24,85,40,29,82
FRA-Ligue 1,2223,Lyon,Mamadou Sarr,FRA,MF,16,2005,0.1,8,8,100.0,170,77,1,1,100.0,6,6,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2223,Lyon,Maxence Caqueret,FRA,MF,22,2000,30.7,1480,1785,82.9,23941,7380,725,828,87.6,585,653,89.6,112,189,59.3,7,5.1,6.1,1.9,60,196,29,8,183
FRA-Ligue 1,2223,Lyon,Mohamed El Arouch,FRA,MF,18,2004,0.0,1,2,50.0,17,9,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1
FRA-Ligue 1,2223,Lyon,Moussa Dembélé,FRA,"FW,MF",26,1996,9.7,138,191,72.3,1752,364,72,99,72.7,45,59,76.3,3,6,50.0,0,0.3,0.5,-0.3,4,8,11,0,23
FRA-Ligue 1,2223,Lyon,Nicolás Tagliafico,ARG,DF,29,1992,33.2,1587,1883,84.3,24353,7754,816,906,90.1,642,751,85.5,69,122,56.6,3,4.2,3.8,-1.2,24,123,36,7,156
FRA-Ligue 1,2223,Lyon,Rayan Cherki,FRA,"MF,FW",18,2003,20.8,844,1094,77.1,13798,3601,433,505,85.7,278,353,78.8,92,159,57.9,6,7.2,9.0,-1.2,66,71,60,4,144
FRA-Ligue 1,2223,Lyon,Romain Faivre,FRA,MF,24,1998,3.3,145,170,85.3,2183,685,84,92,91.3,43,49,87.8,10,18,55.6,1,0.3,0.6,0.7,6,17,3,1,24
