,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2223,Atlético Madrid,Geoffrey Kondogbia,CTA,MF,29,1993,20,10,1006,11.2,0,2,2,0,0,0,5,0,0.7,0.7,0.9,1.6,6,42,5,0.0,0.18,0.18,0.0,0.18,0.07,0.08,0.14,0.07,0.14
ESP-La Liga,2223,Atlético Madrid,Ivo Grbić,CRO,GK,26,1996,12,10,922,10.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Atlético Madrid,Jan Oblak,SVN,GK,29,1993,28,28,2492,27.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Atlético Madrid,José María Giménez,URU,DF,27,1995,28,26,2423,26.9,2,1,3,2,0,0,9,0,2.0,2.0,0.6,2.6,9,63,3,0.07,0.04,0.11,0.07,0.11,0.07,0.02,0.1,0.07,0.1
ESP-La Liga,2223,Atlético Madrid,João Félix,POR,"FW,MF",22,1999,14,7,650,7.2,4,3,7,4,0,0,5,0,2.6,2.6,1.4,4.0,17,27,42,0.55,0.42,0.97,0.55,0.97,0.36,0.2,0.56,0.36,0.56
ESP-La Liga,2223,Atlético Madrid,Koke,ESP,MF,30,1992,33,30,2545,28.3,0,3,3,0,0,0,4,0,0.7,0.7,1.7,2.4,15,175,37,0.0,0.11,0.11,0.0,0.11,0.03,0.06,0.09,0.03,0.09
ESP-La Liga,2223,Atlético Madrid,Marcos Llorente,ESP,"MF,DF",27,1995,22,21,1703,18.9,1,2,3,1,0,0,5,0,2.1,2.1,3.6,5.7,64,88,139,0.05,0.11,0.16,0.05,0.16,0.11,0.19,0.3,0.11,0.3
ESP-La Liga,2223,Atlético Madrid,Mario Hermoso,ESP,DF,27,1995,26,24,2110,23.4,3,2,5,3,0,0,7,2,2.1,2.1,1.4,3.5,23,115,17,0.13,0.09,0.21,0.13,0.21,0.09,0.06,0.15,0.09,0.15
ESP-La Liga,2223,Atlético Madrid,Matheus Cunha,BRA,"FW,MF",23,1999,11,2,377,4.2,0,2,2,0,0,0,2,0,1.4,1.4,0.8,2.2,6,7,19,0.0,0.48,0.48,0.0,0.48,0.34,0.2,0.53,0.34,0.53
ESP-La Liga,2223,Atlético Madrid,Matt Doherty,IRL,DF,30,1992,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
