,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2122,Stuttgart,Sasa Kalajdzic,AUT,FW,24,1997,15,13,1221,13.6,6,1,7,5,1,2,2,0,6.6,5.0,2.5,7.5,14,26,78,0.44,0.07,0.52,0.37,0.44,0.49,0.18,0.67,0.37,0.55
GER-Bundesliga,2122,Stuttgart,Silas Katompa,COD,"FW,MF",22,1998,9,3,277,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,2,21,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
GER-Bundesliga,2122,Stuttgart,Tanguy Coulibaly,FRA,"FW,MF",20,2001,21,11,1079,12.0,0,1,1,0,0,0,8,0,0.8,0.8,0.6,1.4,27,14,88,0.0,0.08,0.08,0.0,0.08,0.07,0.05,0.12,0.07,0.12
GER-Bundesliga,2122,Stuttgart,Tiago Tomás,POR,FW,19,2002,14,13,1075,11.9,4,0,4,4,0,0,2,0,4.0,4.0,1.5,5.5,23,21,92,0.33,0.0,0.33,0.33,0.33,0.33,0.13,0.46,0.33,0.46
GER-Bundesliga,2122,Stuttgart,Wahid Faghir,DEN,FW,18,2003,6,0,123,1.4,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,2,3,18,0.73,0.0,0.73,0.73,0.73,0.26,0.0,0.26,0.26,0.26
GER-Bundesliga,2122,Stuttgart,Waldemar Anton,GER,DF,25,1996,29,29,2595,28.8,2,1,3,2,0,0,6,1,2.1,2.1,1.4,3.5,26,108,12,0.07,0.03,0.1,0.07,0.1,0.07,0.05,0.12,0.07,0.12
GER-Bundesliga,2122,Stuttgart,Wataru Endo,JPN,MF,28,1993,33,33,2899,32.2,4,2,6,4,0,0,4,0,5.0,4.8,1.3,6.2,34,165,63,0.12,0.06,0.19,0.12,0.19,0.16,0.04,0.2,0.15,0.19
GER-Bundesliga,2122,Stuttgart,Ömer Faruk Beyaz,TUR,"DF,MF",17,2003,4,0,71,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,5,5,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19
GER-Bundesliga,2122,Union Berlin,Andreas Luthe,GER,GK,34,1987,27,27,2430,27.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,Union Berlin,Andreas Voglsammer,GER,"FW,MF",29,1992,32,5,882,9.8,2,1,3,2,0,0,1,0,2.4,2.4,1.4,3.8,15,18,57,0.2,0.1,0.31,0.2,0.31,0.25,0.14,0.39,0.25,0.39
GER-Bundesliga,2122,Union Berlin,András Schäfer,HUN,MF,22,1999,8,1,239,2.7,1,1,2,1,0,0,2,0,0.6,0.6,0.1,0.7,4,13,8,0.38,0.38,0.75,0.38,0.75,0.23,0.04,0.27,0.23,0.27
GER-Bundesliga,2122,Union Berlin,Anthony Ujah,NGA,"FW,MF",30,1990,3,0,35,0.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,1,0,5,0.0,0.0,0.0,0.0,0.0,0.74,0.13,0.87,0.74,0.87
GER-Bundesliga,2122,Union Berlin,Bastian Oczipka,GER,DF,32,1989,18,9,932,10.4,0,1,1,0,0,0,1,0,0.3,0.3,2.1,2.4,21,47,35,0.0,0.1,0.1,0.0,0.1,0.03,0.2,0.23,0.03,0.23
GER-Bundesliga,2122,Union Berlin,Cedric Teuchert,GER,"MF,FW",24,1997,6,0,105,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,2,2,0.0,0.0,0.0,0.0,0.0,0.18,0.08,0.26,0.18,0.26
GER-Bundesliga,2122,Union Berlin,Christopher Trimmel,AUT,"DF,FW",34,1987,25,23,1990,22.1,2,0,2,2,0,0,5,0,1.4,1.4,2.2,3.6,42,81,70,0.09,0.0,0.09,0.09,0.09,0.06,0.1,0.16,0.06,0.16
