,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2122,Reims,Predrag Rajković,SRB,GK,25,1995,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Reims,Sambou Sissoko,FRA,"MF,DF",22,1999,2.0,0,3,0,0.0,1.53,0.0,0.0,,22.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
FRA-Ligue 1,2122,Reims,Samuel Koeberlé,FRA,FW,16,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Reims,Thomas Foket,BEL,"DF,FW",26,1994,24.8,1,8,3,37.5,0.32,0.12,0.13,0.33,13.6,0,0,0,0.6,0.6,0.07,0.4,0.4
FRA-Ligue 1,2122,Reims,Valon Berisha,KVX,"MF,FW",28,1993,5.1,0,4,0,0.0,0.79,0.0,0.0,,16.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
FRA-Ligue 1,2122,Reims,Wout Faes,BEL,DF,23,1998,37.0,4,22,9,40.9,0.59,0.24,0.18,0.44,13.6,0,0,0,2.1,2.1,0.1,1.9,1.9
FRA-Ligue 1,2122,Reims,Xavier Chavalerin,FRA,MF,30,1991,2.4,0,3,0,0.0,1.23,0.0,0.0,,19.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3
FRA-Ligue 1,2122,Reims,Yunis Abdelhamid,MAR,DF,33,1987,33.1,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,1.2,1.2,0.07,0.8,0.8
FRA-Ligue 1,2122,Rennes,Adrien Truffert,FRA,DF,19,2001,18.2,3,19,5,26.3,1.04,0.27,0.16,0.6,20.1,0,0,0,1.8,1.8,0.09,1.2,1.2
FRA-Ligue 1,2122,Rennes,Alfred Gomis,SEN,GK,27,1993,25.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Rennes,Andy Diouf,FRA,MF,18,2003,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Rennes,Baptiste Santamaria,FRA,"MF,DF",26,1995,28.0,2,34,7,20.6,1.22,0.25,0.06,0.29,18.0,0,0,0,1.9,1.9,0.05,0.1,0.1
FRA-Ligue 1,2122,Rennes,Benjamin Bourigeaud,FRA,"FW,MF",27,1994,35.5,11,51,21,41.2,1.44,0.59,0.22,0.52,17.3,8,0,0,5.7,5.7,0.11,5.3,5.3
FRA-Ligue 1,2122,Rennes,Birger Meling,NOR,DF,26,1994,20.3,0,3,1,33.3,0.15,0.05,0.0,0.0,16.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2
FRA-Ligue 1,2122,Rennes,Doğan Alemdar,TUR,GK,18,2002,12.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Rennes,Eduardo Camavinga,FRA,MF,18,2002,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Rennes,Flavien Tait,FRA,MF,28,1993,23.6,5,42,12,28.6,1.78,0.51,0.12,0.42,20.7,0,0,0,2.6,2.6,0.06,2.4,2.4
FRA-Ligue 1,2122,Rennes,Gaëtan Laborde,FRA,FW,27,1994,30.3,12,84,32,38.1,2.77,1.06,0.12,0.31,12.4,0,2,2,14.9,13.3,0.16,-2.9,-3.3
FRA-Ligue 1,2122,Rennes,Hamari Traoré,MLI,DF,29,1992,32.1,3,31,9,29.0,0.97,0.28,0.1,0.33,17.2,0,0,0,1.5,1.5,0.05,1.5,1.5
FRA-Ligue 1,2122,Rennes,Jeanuël Belocian,FRA,DF,16,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Rennes,Jeremy Doku,BEL,"FW,MF",19,2002,5.2,1,5,2,40.0,0.96,0.38,0.2,0.5,15.1,0,0,0,0.7,0.7,0.14,0.3,0.3
FRA-Ligue 1,2122,Rennes,Jonas Martin,FRA,MF,31,1990,23.4,1,21,4,19.0,0.9,0.17,0.05,0.25,20.3,0,0,0,1.2,1.2,0.06,-0.2,-0.2
FRA-Ligue 1,2122,Rennes,Kamaldeen Sulemana,GHA,"MF,FW",19,2002,11.3,4,26,8,30.8,2.31,0.71,0.15,0.5,20.5,0,0,0,2.3,2.3,0.09,1.7,1.7
FRA-Ligue 1,2122,Rennes,Lesley Ugochukwu,FRA,MF,17,2004,4.5,1,4,1,25.0,0.89,0.22,0.25,1.0,17.1,0,0,0,0.3,0.3,0.08,0.7,0.7
FRA-Ligue 1,2122,Rennes,Lorenz Assignon,TOG,DF,21,2000,6.8,0,6,4,66.7,0.88,0.58,0.0,0.0,8.4,0,0,0,0.7,0.7,0.13,-0.7,-0.7
FRA-Ligue 1,2122,Rennes,Loum Tchaouna,FRA,"FW,MF",17,2003,1.0,0,2,1,50.0,2.07,1.03,0.0,0.0,16.1,0,0,0,0.3,0.3,0.13,-0.3,-0.3
FRA-Ligue 1,2122,Rennes,Lovro Majer,CRO,"MF,FW",23,1998,20.4,6,45,18,40.0,2.21,0.88,0.13,0.33,19.9,4,0,0,5.3,5.3,0.12,0.7,0.7
FRA-Ligue 1,2122,Rennes,Loïc Bade,FRA,DF,21,2000,10.9,0,7,0,0.0,0.64,0.0,0.0,,14.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
