league,season,game,round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
FRA-Ligue 1,2324,2023-12-20 Reims-Le Havre,Ligue 1,17,Wed,2023-12-20,21:00,Reims,1.2,1–0,0.2,Le Havre,14835,Stade Auguste-Delaune,Stéphanie Frappart,/en/matches/4e667758/Reims-Le-Havre-December-20-2023-Ligue-1,,4e667758
FRA-Ligue 1,2324,2023-12-20 Strasbourg-Lille,Ligue 1,17,Wed,2023-12-20,21:00,Strasbourg,0.8,2–1,0.5,Lille,25373,Stade de la Meinau,Clément Turpin,/en/matches/df32fbe8/Strasbourg-Lille-December-20-2023-Ligue-1,,df32fbe8
FRA-Ligue 1,2324,2023-12-20 Toulouse-Monaco,Ligue 1,17,Wed,2023-12-20,21:00,Toulouse,1.4,1–2,1.9,Monaco,23881,Stadium Municipal,Jérôme Brisard,/en/matches/81c83fe9/Toulouse-Monaco-December-20-2023-Ligue-1,,81c83fe9
FRA-Ligue 1,2324,2024-01-12 Marseille-Strasbourg,Ligue 1,18,Fri,2024-01-12,21:00,Marseille,1.4,1–1,1.2,Strasbourg,53616,Orange Vélodrome,Marc Bollengier,/en/matches/2a8b7749/Marseille-Strasbourg-January-12-2024-Ligue-1,,2a8b7749
FRA-Ligue 1,2324,2024-01-13 Monaco-Reims,Ligue 1,18,Sat,2024-01-13,17:00,Monaco,1.2,1–3,1.5,Reims,4231,Stade Louis II,François Letexier,/en/matches/7f2cdeb6/Monaco-Reims-January-13-2024-Ligue-1,,7f2cdeb6
FRA-Ligue 1,2324,2024-01-13 Rennes-Nice,Ligue 1,18,Sat,2024-01-13,21:00,Rennes,2.0,2–0,0.7,Nice,26689,Roazhon Park,Bastien Dechepy,/en/matches/6cc45497/Rennes-Nice-January-13-2024-Ligue-1,,6cc45497
FRA-Ligue 1,2324,2024-01-14 Brest-Montpellier,Ligue 1,18,Sun,2024-01-14,15:00,Brest,3.4,2–0,0.4,Montpellier,12712,Stade Francis-Le Blé,Jérémie Pignard,/en/matches/82c3efb7/Brest-Montpellier-January-14-2024-Ligue-1,,82c3efb7
FRA-Ligue 1,2324,2024-01-14 Le Havre-Lyon,Ligue 1,18,Sun,2024-01-14,17:05,Le Havre,1.2,3–1,0.8,Lyon,23146,Stade Océane,Gaël Angoula,/en/matches/a8be717d/Le-Havre-Lyon-January-14-2024-Ligue-1,,a8be717d
FRA-Ligue 1,2324,2024-01-14 Lens-Paris S-G,Ligue 1,18,Sun,2024-01-14,20:45,Lens,2.1,0–2,1.8,Paris S-G,38200,Stade Bollaert-Delelis,Jérôme Brisard,/en/matches/0682fa55/Lens-Paris-Saint-Germain-January-14-2024-Ligue-1,,0682fa55
FRA-Ligue 1,2324,2024-01-14 Lille-Lorient,Ligue 1,18,Sun,2024-01-14,13:00,Lille,2.3,3–0,0.1,Lorient,35204,Decathlon Arena - Stade Pierre-Mauroy,Pierre Gaillouste,/en/matches/24f7d86b/Lille-Lorient-January-14-2024-Ligue-1,,24f7d86b
