,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2324,RB Leipzig,Mohamed Simakan,FRA,DF,23,2000,23.8,1347,1573,85.6,23904,8042,530,594,89.2,720,790,91.1,83,152,54.6,3,3.3,2.9,-0.3,15,107,5,2,106
GER-Bundesliga,2324,RB Leipzig,Nicolas Seiwald,AUT,MF,22,2001,8.0,320,390,82.1,5471,1792,148,167,88.6,139,162,85.8,27,43,62.8,2,0.3,0.4,1.7,5,25,6,0,33
GER-Bundesliga,2324,RB Leipzig,Nuha Jatta,GAM,FW,17,2006,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
GER-Bundesliga,2324,RB Leipzig,Péter Gulácsi,HUN,GK,33,1990,13.0,406,470,86.4,9045,4821,112,112,100.0,213,213,100.0,81,145,55.9,0,0.0,0.0,0.0,0,2,0,0,1
GER-Bundesliga,2324,RB Leipzig,Timo Werner,GER,"FW,MF",27,1996,2.3,61,88,69.3,983,129,34,43,79.1,23,30,76.7,4,7,57.1,0,0.0,0.1,0.0,2,1,0,0,6
GER-Bundesliga,2324,RB Leipzig,Willi Orban,HUN,DF,30,1992,17.6,1251,1396,89.6,23362,8621,395,432,91.4,763,813,93.8,83,124,66.9,0,0.4,0.8,-0.4,7,67,4,1,97
GER-Bundesliga,2324,RB Leipzig,Xaver Schlager,AUT,MF,25,1997,27.5,1587,1798,88.3,26312,7551,749,808,92.7,703,757,92.9,104,152,68.4,5,2.6,3.1,2.4,27,196,22,2,230
GER-Bundesliga,2324,RB Leipzig,Xavi Simons,NED,MF,20,2003,29.5,1137,1434,79.3,17935,4994,611,693,88.2,367,442,83.0,106,168,63.1,11,9.8,9.0,1.2,79,102,66,3,187
GER-Bundesliga,2324,RB Leipzig,Yussuf Poulsen,DEN,FW,29,1994,13.5,207,289,71.6,2552,622,130,164,79.3,48,66,72.7,6,10,60.0,2,1.0,2.3,1.0,13,8,5,2,16
GER-Bundesliga,2324,Stuttgart,Alexander Nübel,GER,GK,26,1996,30.0,998,1218,81.9,24812,17557,199,200,99.5,539,556,96.9,258,456,56.6,0,0.0,0.0,0.0,0,13,1,0,1
GER-Bundesliga,2324,Stuttgart,Angelo Stiller,GER,MF,22,2001,29.9,2346,2637,89.0,37536,11544,1147,1231,93.2,981,1047,93.7,141,243,58.0,5,5.1,5.4,-0.1,51,229,29,6,220
GER-Bundesliga,2324,Stuttgart,Anthony Rouault,FRA,DF,22,2001,11.2,824,931,88.5,13730,5543,406,435,93.3,344,373,92.2,61,90,67.8,2,0.8,1.2,1.2,8,64,5,1,68
GER-Bundesliga,2324,Stuttgart,Atakan Karazor,,MF,26,1996,29.1,1698,1900,89.4,24791,6910,946,1027,92.1,637,684,93.1,55,75,73.3,4,2.6,2.5,1.4,29,138,19,3,142
GER-Bundesliga,2324,Stuttgart,Borna Sosa,CRO,"FW,DF",25,1998,0.5,27,43,62.8,481,122,16,17,94.1,7,13,53.8,4,11,36.4,0,0.3,0.1,-0.3,3,2,0,0,2
GER-Bundesliga,2324,Stuttgart,Chris Führich,GER,"FW,MF",25,1998,28.5,1112,1370,81.2,15384,4203,666,737,90.4,325,391,83.1,52,121,43.0,7,8.0,9.2,-1.0,53,59,61,9,145
GER-Bundesliga,2324,Stuttgart,Dan-Axel Zagadou,FRA,DF,24,1999,16.1,1179,1361,86.6,21604,8514,454,493,92.1,599,661,90.6,107,174,61.5,0,0.3,0.7,-0.3,3,62,3,0,75
GER-Bundesliga,2324,Stuttgart,Deniz Undav,GER,"FW,MF",27,1996,23.2,595,799,74.5,8387,2679,342,420,81.4,186,230,80.9,27,47,57.4,10,6.5,6.1,3.5,39,67,44,2,120
GER-Bundesliga,2324,Stuttgart,Enzo Millot,FRA,"MF,FW",21,2002,24.9,1238,1456,85.0,17707,4172,710,775,91.6,412,480,85.8,57,94,60.6,4,3.9,5.3,0.1,33,97,31,4,127
GER-Bundesliga,2324,Stuttgart,Fabian Bredlow,GER,GK,28,1995,4.0,136,179,76.0,3385,2506,38,39,97.4,58,59,98.3,40,81,49.4,0,0.0,0.0,0.0,0,1,0,0,0
GER-Bundesliga,2324,Stuttgart,Genki Haraguchi,JPN,MF,32,1991,0.3,14,18,77.8,205,53,8,9,88.9,5,5,100.0,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,3
GER-Bundesliga,2324,Stuttgart,Hiroki Ito,JPN,DF,24,1999,24.8,1833,2066,88.7,30156,11234,915,962,95.1,774,842,91.9,118,211,55.9,2,2.0,2.4,0.0,19,119,21,7,121
GER-Bundesliga,2324,Stuttgart,Jamie Leweling,GER,"FW,MF",22,2001,16.9,470,599,78.5,6491,1524,291,337,86.4,136,175,77.7,21,41,51.2,4,3.2,3.1,0.8,23,19,18,10,35
GER-Bundesliga,2324,Stuttgart,Jeong Woo-yeong,KOR,"MF,FW",23,1999,7.0,275,326,84.4,3475,721,188,209,90.0,57,73,78.1,12,15,80.0,3,1.6,1.6,1.4,9,21,3,1,22
GER-Bundesliga,2324,Stuttgart,Josha Vagnoman,GER,DF,22,2000,13.1,516,615,83.9,7361,1690,306,340,90.0,168,201,83.6,20,31,64.5,2,1.3,1.4,0.7,7,24,5,1,33
GER-Bundesliga,2324,Stuttgart,Jovan Milošević,SRB,"FW,MF",18,2005,0.3,8,13,61.5,87,17,4,5,80.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1
GER-Bundesliga,2324,Stuttgart,Leonidas Stergiou,SUI,DF,21,2002,6.6,308,364,84.6,4390,1434,185,203,91.1,107,123,87.0,9,21,42.9,0,0.4,0.9,-0.4,5,18,7,5,17
