,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2122,Venezia,Luca Lezzerini,ITA,GK,26,1995,5.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Venezia,Marco Modolo,ITA,DF,32,1989,4.4,0,1,1,100.0,0.23,0.23,0.0,0.0,8.1,0,0,0,0.2,0.2,0.22,-0.2,-0.2
ITA-Serie A,2122,Venezia,Mattia Aramu,ITA,"MF,FW",26,1995,23.3,7,55,15,27.3,2.36,0.64,0.07,0.27,24.5,17,3,4,6.8,3.6,0.07,0.2,0.4
ITA-Serie A,2122,Venezia,Mattia Caldara,ITA,DF,27,1994,30.0,1,16,7,43.8,0.53,0.23,0.06,0.14,14.5,0,0,0,1.8,1.8,0.11,-0.8,-0.8
ITA-Serie A,2122,Venezia,Maximilian Ullmann,AUT,DF,25,1996,2.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Venezia,Michael Svoboda,AUT,DF,22,1998,13.7,0,7,0,0.0,0.51,0.0,0.0,,7.3,0,0,0,1.1,1.1,0.15,-1.1,-1.1
ITA-Serie A,2122,Venezia,Mickaël Cuisance,FRA,MF,21,1999,10.2,0,6,1,16.7,0.59,0.1,0.0,0.0,20.5,2,0,0,0.6,0.6,0.1,-0.6,-0.6
ITA-Serie A,2122,Venezia,Nani,POR,"MF,FW",34,1986,3.2,0,3,0,0.0,0.94,0.0,0.0,,24.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
ITA-Serie A,2122,Venezia,Nicolas Galazzi,ITA,MF,20,2000,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Venezia,Niki Mäenpää,FIN,GK,36,1985,16.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Venezia,Pasquale Mazzocchi,ITA,DF,26,1995,13.8,0,6,0,0.0,0.43,0.0,0.0,,22.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3
ITA-Serie A,2122,Venezia,Patrick Leal,USA,FW,18,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Venezia,Pietro Ceccaroni,ITA,DF,25,1995,34.7,2,19,6,31.6,0.55,0.17,0.11,0.33,11.1,0,0,0,2.3,2.3,0.12,-0.3,-0.3
ITA-Serie A,2122,Venezia,Ridgeciano Haps,SUR,DF,28,1993,22.8,1,11,2,18.2,0.48,0.09,0.09,0.5,22.9,0,0,0,0.5,0.5,0.04,0.5,0.5
ITA-Serie A,2122,Venezia,Sergio Romero,ARG,GK,34,1987,16.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Venezia,Sofian Kiyine,MAR,"MF,FW",23,1997,13.8,1,20,5,25.0,1.45,0.36,0.05,0.2,27.5,2,0,1,1.5,0.6,0.03,-0.5,0.4
ITA-Serie A,2122,Venezia,Tanner Tessmann,USA,MF,19,2001,7.6,0,8,3,37.5,1.06,0.4,0.0,0.0,16.5,0,0,0,0.6,0.6,0.08,-0.6,-0.6
ITA-Serie A,2122,Venezia,Thomas Henry,FRA,FW,26,1994,23.5,9,51,24,47.1,2.17,1.02,0.18,0.38,13.3,0,0,0,6.8,6.8,0.13,2.2,2.2
ITA-Serie A,2122,Venezia,Tyronne Ebuehi,NGA,DF,25,1995,12.6,0,7,1,14.3,0.55,0.08,0.0,0.0,14.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6
